,industry_x,pe,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,labels_result,index,code,name,industry_y
122,26,15.73,0.3,0.41,3.51,3.68,19990128,45.48,1.99,23.77,15.12,61.76,46.11,11667.0,8,600167,600167,联美控股,供气供热
123,20,16.16,5.93,0.545,10.12,1.74,20040826,12.96,3.08,25.97,8.56,50.24,31.12,11236.0,7,002034,002034,旺能环境,环境保护
124,7,17.44,7.06,4.13,13.95,10.32,20170714,26.64,6.66,218.08,734.19,65.34,40.2,44295.0,10,300676,300676,华大基因,医疗保健
125,16,8.54,2.79,2.005,7.27,4.71,20170602,4.96,3.26,97.2,586.47,52.23,32.08,16027.0,6,300658,300658,延江股份,纺织
126,23,20.89,1.46,0.113,2.17,2.18,19940818,-3.9,-0.53,5.65,8.48,36.01,14.29,56822.0,3,600866,600866,星湖科技,食品
127,21,23.85,0.24,0.07400000000000001,4.37,0.81,19930709,23.86,2.76,-45.54,-63.02,25.1,6.71,37928.0,3,600665,600665,天地源,全国地产
128,42,9.03,0.93,0.789,6.46,2.21,20150422,14.3,4.3,-35.7,37.77,66.63,32.21,20500.0,8,603808,603808,歌力思,服饰
129,22,21.81,0.01,0.253,2.08,5.3,20100618,14.6,0.98,15.89,170.8,30.01,18.39,158000.0,1,002436,002436,兴森科技,元器件
130,32,15.34,2.65,0.249,7.14,1.07,20040524,43.23,2.83,-11.26,-12.77,10.25,3.79,33701.0,3,600491,600491,龙元建设,建筑工程
131,37,18.31,2.57,0.25,7.76,1.02,20040531,45.21,2.57,-17.69,-22.93,17.39,10.42,23147.0,3,600483,600483,福能股份,火力发电
132,18,9.06,0.07,0.222,1.76,2.29,20031110,12.26,0.57,4.22,131.95,20.39,17.13,80719.0,3,600477,600477,杭萧钢构,钢加工
133,7,23.65,2.22,2.42,17.94,6.38,20200917,26.52,6.22,0.0,0.0,57.71,24.7,40271.0,6,300888,300888,稳健医疗,医疗保健
134,23,15.39,4.14,0.7,7.34,2.8,20120316,7.47,2.24,27.96,113.86,25.9,11.48,38637.0,7,002661,002661,克明面业,食品
135,52,24.08,2.67,0.46,6.0,3.21,20180420,10.38,1.47,-3.36,116.0,23.88,13.9,17876.0,1,603733,603733,仙鹤股份,造纸
136,53,9.81,5.83,0.569,11.46,0.97,20110919,28.63,4.64,3.91,6.49,12.39,4.9,26442.0,7,601677,601677,明泰铝业,铝
137,54,22.48,2.14,0.5589999999999999,8.61,2.92,20180212,64.33,5.08,-48.4,-44.22,51.11,39.66,24758.0,8,603156,603156,养元饮品,软饮料
138,5,13.92,0.21,0.10300000000000001,1.81,1.59,20190826,250.35,0.5,18.79,3.64,42.58,16.52,344009.0,4,003816,003816,中国广核,新型电力
139,6,24.21,4.46,0.6579999999999999,9.8,3.25,20170119,8.28,4.04,31.7,7.5,28.12,11.84,13262.0,7,300596,300596,利安隆,化工原料
140,23,14.97,2.74,0.24600000000000002,5.41,1.36,20060627,11.29,1.48,4.97,-11.15,52.33,18.41,18376.0,8,002053,002053,云南能投,食品
141,55,6.68,0.86,0.677,5.37,1.69,19961128,149.39,2.8,16.09,39.59,25.95,11.93,99620.0,0,000656,000656,金科股份,区域地产
142,56,13.81,1.59,0.166,3.93,1.16,19960701,10.39,1.0,2.0,8.11,6.44,0.95,71700.0,3,600713,600713,南京医药,医药商业
143,7,18.35,0.64,0.379,2.9,4.79,20170807,2.44,1.11,226.62,260.57,36.04,11.41,15434.0,5,603880,603880,南卫股份,医疗保健
144,57,14.71,0.82,0.21100000000000002,4.54,1.37,19961128,12.86,2.16,0.25,48.77,36.68,20.6,40260.0,12,000655,000655,金岭矿业,普钢
145,43,24.51,3.04,0.49,5.73,4.08,20180125,10.52,1.73,34.7,74.67,38.99,10.9,22502.0,1,300737,300737,科顺股份,其他建材
146,18,5.68,1.49,0.687,5.07,1.54,20100706,12.19,2.34,-12.99,274.82,16.82,17.02,37209.0,0,002443,002443,金洲管道,钢加工
147,7,10.9,0.9,1.124,3.98,6.16,20190311,12.2,1.93,106.04,536.45,43.88,31.55,43151.0,6,002950,002950,奥美医疗,医疗保健
148,41,14.47,2.11,1.0290000000000001,8.38,3.56,20040625,103.14,4.8,36.79,91.41,59.68,41.81,73800.0,8,002001,002001,新 和 成,化学制药
149,25,20.51,2.51,0.606,6.96,3.57,20170711,5.23,3.19,14.87,33.97,31.15,17.08,7494.0,1,603757,603757,大元泵业,专用机械
150,10,12.45,0.77,0.9990000000000001,5.89,4.22,20030703,338.92,4.0,13.37,25.48,30.34,17.22,302223.0,4,600031,600031,三一重工,工程机械
151,57,13.88,2.27,0.18,7.92,0.63,20001212,707.5,3.18,-7.88,-36.86,9.69,3.08,353595.0,4,600019,600019,宝钢股份,普钢
